HIHBDTCVQJD;ZSIBZRKDNWCLVR

ZSIUUUTMFUTOISPFWMNIV;MAMYTMVCORC

YSXBJOWOWCQWHM;VSXZPLQNSZAEU

XKPDENUCFIMCHHL;UPVCOBRQEBUJPCAXPM

OFNTBCFCEPIFVLWJDQUKE;RNIYLJVVUECMGHJVLCOCOO

HQBQTGEWFECXYVMVELXXPI;RYFENPDANCKWVB

hello world mordor;lord of the rings

OJJZZUVMJWPXX;PLZDBUJFNRLXTKK

the quick brown fox;the fast brown dogs

SVQQIJZEEZX;NCZXFYLTCFLALFWDMTWBNT

OHLCDLHAPYTXRHHRWYRB;PBTXUNKXBLJIB

FMITQUORJECMUJUANBJFC;YXFDIZOKCVQJ

thisisatest;testing123testing

TLGEKLKRISGVUINZK;NGKHDVNRNGDNOLQEN

NKFFBJMZOHGOJQANYLILK;XANSVYIPQJK

LDJTFENJZDMAUUKGWO;YDUGGZTMHNMXHREE

QMVXTHBRKBHXBJHBTQSD;QOOCZSJBDHN

LSKFRPHABHSNH;VZOCJDEPDELDKIM

PXSCXEIACIJ;KGPVWRXQPOUMRUZBAMB

RANWYHRYVPZEQDMGL;NTIFCXVBPSELYKKV
